x, y, 
-2.7, 1.67611, 
-2.68133, 1.68835, 
-2.66267, 1.70056, 
-2.644, 1.71269, 
-2.62533, 1.72471, 
-2.60667, 1.73658, 
-2.588, 1.74826, 
-2.56933, 1.75971, 
-2.55067, 1.7709, 
-2.532, 1.78178, 
-2.51333, 1.79233, 
-2.49467, 1.8025, 
-2.476, 1.81225, 
-2.45733, 1.82155, 
-2.43867, 1.83036, 
-2.42, 1.83864, 
-2.40133, 1.84635, 
-2.38267, 1.85346, 
-2.364, 1.85993, 
-2.34533, 1.86571, 
-2.32667, 1.87078, 
-2.308, 1.8751, 
-2.28933, 1.87862, 
-2.27067, 1.88131, 
-2.252, 1.88313, 
-2.23333, 1.88405, 
-2.21467, 1.88402, 
-2.196, 1.88301, 
-2.17733, 1.881, 
-2.15867, 1.87804, 
-2.14, 1.87418, 
-2.12133, 1.86946, 
-2.10267, 1.86393, 
-2.084, 1.85764, 
-2.06533, 1.85064, 
-2.04667, 1.84297, 
-2.028, 1.83469, 
-2.00933, 1.82584, 
-1.99067, 1.81647, 
-1.972, 1.80663, 
-1.95333, 1.79637, 
-1.93467, 1.78573, 
-1.916, 1.77476, 
-1.89733, 1.76352, 
-1.87867, 1.75204, 
-1.86, 1.74038, 
-1.84133, 1.72859, 
-1.82267, 1.71671, 
-1.804, 1.70479, 
-1.78533, 1.69289, 
-1.76667, 1.68104, 
-1.748, 1.6693, 
-1.72933, 1.65771, 
-1.71067, 1.64632, 
-1.692, 1.63519, 
-1.67333, 1.62433, 
-1.65467, 1.61374, 
-1.636, 1.60343, 
-1.61733, 1.59338, 
-1.59867, 1.5836, 
-1.58, 1.57408, 
-1.56133, 1.56482, 
-1.54267, 1.55581, 
-1.524, 1.54705, 
-1.50533, 1.53854, 
-1.48667, 1.53028, 
-1.468, 1.52226, 
-1.44933, 1.5145, 
-1.43067, 1.507, 
-1.412, 1.49977, 
-1.39333, 1.49281, 
-1.37467, 1.48614, 
-1.356, 1.47975, 
-1.33733, 1.47365, 
-1.31867, 1.46785, 
-1.3, 1.46236, 
-1.28133, 1.45718, 
-1.26267, 1.45232, 
-1.244, 1.44778, 
-1.22533, 1.44357, 
-1.20667, 1.4397, 
-1.188, 1.43618, 
-1.16933, 1.433, 
-1.15067, 1.43018, 
-1.132, 1.42772, 
-1.11333, 1.42564, 
-1.09467, 1.42392, 
-1.076, 1.42259, 
-1.05733, 1.42165, 
-1.03867, 1.4211, 
-1.02, 1.42095, 
-1.00133, 1.42121, 
-0.982667, 1.42188, 
-0.964, 1.42297, 
-0.945333, 1.42449, 
-0.926666, 1.42644, 
-0.908, 1.42883, 
-0.889333, 1.43166, 
-0.870667, 1.43494, 
-0.852, 1.43866, 
-0.833333, 1.44281, 
-0.814667, 1.4474, 
-0.796, 1.45242, 
-0.777333, 1.45787, 
-0.758667, 1.46373, 
-0.74, 1.47002, 
-0.721333, 1.47671, 
-0.702667, 1.48382, 
-0.684, 1.49133, 
-0.665333, 1.49925, 
-0.646667, 1.50756, 
-0.628, 1.51627, 
-0.609333, 1.52536, 
-0.590667, 1.53484, 
-0.572, 1.54471, 
-0.553333, 1.55495, 
-0.534667, 1.56556, 
-0.516, 1.57655, 
-0.497333, 1.5879, 
-0.478667, 1.59961, 
-0.46, 1.61167, 
-0.441333, 1.62409, 
-0.422667, 1.63684, 
-0.404, 1.64992, 
-0.385333, 1.66333, 
-0.366667, 1.67706, 
-0.348, 1.6911, 
-0.329333, 1.70544, 
-0.310667, 1.72008, 
-0.292, 1.735, 
-0.273333, 1.75021, 
-0.254667, 1.76569, 
-0.236, 1.78144, 
-0.217333, 1.79745, 
-0.198667, 1.81371, 
-0.18, 1.83022, 
-0.161333, 1.84697, 
-0.142667, 1.86394, 
-0.124, 1.88114, 
-0.105333, 1.89855, 
-0.0866666, 1.91618, 
-0.0679998, 1.934, 
-0.0493331, 1.95202, 
-0.0306666, 1.97023, 
-0.0120001, 1.98861, 
0.0066669, 2.00717, 
